;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;;
105;21;4;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;0,95661322;0,074508345;-25,59937496;23;;;
106;21;4;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;1,492181025;0,159028633;-21,63735334;25;;;
107;21;4;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;-3,529462785;-0,259566563;-37,89511806;21;;;
108;21;4;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;10,3766896;1,134055018;-10,38853334;30;;;
109;21;4;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;8,88312387;0,643487479;-21,98390901;27;;;
110;21;4;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;7,570356795;0,722562718;-17,61285899;30;;;
111;21;4;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;5,409818158;0,358842094;-31,73166752;26;;;
112;21;5;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;4,441805692;0,732549119;-14,45203101;15;;;
113;21;5;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;2,430315121;0,229912104;-17,07029619;14;;;
114;21;5;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;2,254257076;0,3505594;-26,52476464;15;;;
115;21;5;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;-0,805934923;-0,073584077;-31,82290958;13;;;
116;21;5;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;7,704296169;0,924738889;-15,54346281;23;;;
117;21;5;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;8,599355921;0,665202102;-23,79249259;20;;;
118;21;5;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;7,436508675;0,727108427;-21,34068269;22;;;
119;21;5;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;6,584987383;0,457221272;-30,5767096;19;;;
120;28;3;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;16,04925622;1,219193927;-14,56983324;42;;;
121;28;3;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;20,21194444;1,083018216;-19,62898072;38;;;
122;28;3;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;12,18751798;0,881301858;-16,10005235;41;;;
123;28;3;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;14,30491337;0,758347323;-29,02335;36;;;
124;28;3;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;7,988844194;0,64693581;-21,18164947;39;;;
125;28;3;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;8,578527828;0,475183328;-28,13866572;35;;;
126;28;3;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;2,224259098;0,165214262;-25,89109987;36;;;
127;28;3;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;5,529807807;0,293632643;-35,43297902;33;;;
