Date;Open;High;Low;Close;Adj Close;Volume
2001-03-23;25,049999237060547;26,389999389648438;24,975000381469727;26,389999389648438;14,634541511535645;15785400
2001-03-26;26,575000762939453;26,850000381469727;25,790000915527344;26,25;14,556899070739746;11939200
2001-03-27;25,875;27,34000015258789;25,594999313354492;27,239999771118164;15,105903625488281;19161000
2001-03-28;26,90999984741211;27,299999237060547;26,579999923706055;27,209999084472656;15,089271545410156;13029000
2001-03-29;26,774999618530273;27,049999237060547;26,375;26,579999923706055;14,73990535736084;11123800
2001-03-30;26,774999618530273;27,3799991607666;26,59000015258789;27,375;15,18077564239502;12760800
2001-04-02;27,225000381469727;27,6200008392334;26,639999389648438;27,0049991607666;14,97559642791748;16126800
2001-04-03;26,950000762939453;26,950000762939453;25,80500030517578;26,125;14,487584114074707;14116800
2001-04-04;25,924999237060547;26,125;25,024999618530273;25,155000686645508;13,949676513671875;18445800
2001-04-05;25,799999237060547;26,274999618530273;25,645000457763672;25,924999237060547;14,376669883728027;11382400
2001-04-06;25,924999237060547;26,25;24,325000762939453;24,795000076293945;13,750045776367188;26638400
2001-04-09;25,174999237060547;25,780000686645508;25,024999618530273;25,299999237060547;14,030081748962402;9621200
2001-04-10;25,799999237060547;26,600000381469727;25,764999389648438;25,959999084472656;14,39608383178711;12583200
2001-04-11;26,950000762939453;27,09000015258789;26,135000228881836;26,274999618530273;14,57076358795166;11780000
2001-04-12;26,274999618530273;26,725000381469727;26,170000076293945;26,475000381469727;14,68167495727539;6576000
2001-04-16;26,524999618530273;27,1299991607666;26,100000381469727;26,225000381469727;14,543045043945312;15241400
2001-04-17;26,274999618530273;26,424999237060547;25,90999984741211;26,0;14,418267250061035;11540000
2001-04-18;26,125;27,75;26,024999618530273;27,59000015258789;15,300004959106445;23188400
2001-04-19;27,450000762939453;28,7450008392334;27,385000228881836;28,200000762939453;15,638278007507324;18648000
2001-04-20;28,19499969482422;28,19499969482422;27,4950008392334;27,5049991607666;15,252859115600586;13803200
2001-04-23;27,5049991607666;27,674999237060547;27,204999923706055;27,46500015258789;15,23067855834961;11155800
2001-04-24;27,600000381469727;27,81999969482422;27,225000381469727;27,25;15,111458778381348;8100800
2001-04-25;27,25;27,524999618530273;26,8799991607666;27,450000762939453;15,222362518310547;7681000
2001-04-26;27,524999618530273;27,799999237060547;27,209999084472656;27,559999465942383;15,283360481262207;8984800
2001-04-27;27,850000381469727;28,5;27,71500015258789;28,459999084472656;15,782455444335938;8606600
2001-04-30;28,549999237060547;28,700000762939453;27,75;28,0;15,527371406555176;10037000
2001-05-01;27,875;28,25;27,56999969482422;28,225000381469727;15,65213394165039;10729200
2001-05-02;28,25;28,395000457763672;27,93000030517578;28,05500030517578;15,557865142822266;9048400
2001-05-03;28,05500030517578;28,084999084472656;27,575000762939453;27,975000381469727;15,513497352600098;9332600
2001-05-04;27,75;28,3700008392334;27,59000015258789;28,190000534057617;15,632730484008789;8610800
2001-05-07;28,125;28,125;27,809999465942383;28,114999771118164;15,5911283493042;6231000
2001-05-08;28,174999237060547;28,174999237060547;27,780000686645508;27,854999542236328;15,446954727172852;5066600
2001-05-09;27,774999618530273;27,864999771118164;27,450000762939453;27,690000534057617;15,355449676513672;9901400
2001-05-10;28,0;28,020000457763672;27,799999237060547;27,889999389648438;15,466362953186035;6182000
2001-05-11;27,825000762939453;27,959999084472656;26,725000381469727;26,760000228881836;14,8397216796875;14266200
2001-05-14;26,950000762939453;27,200000762939453;26,81999969482422;27,200000762939453;15,08372688293457;9414800
2001-05-15;27,325000762939453;27,649999618530273;27,239999771118164;27,524999618530273;15,263951301574707;11294000
2001-05-16;27,424999237060547;28,295000076293945;27,299999237060547;28,274999618530273;15,67986011505127;10060200
2001-05-17;28,100000381469727;28,614999771118164;27,950000762939453;28,299999237060547;15,69372844696045;14768600
2001-05-18;28,190000534057617;28,575000762939453;28,190000534057617;28,5;15,804638862609863;8775400
2001-05-21;28,225000381469727;28,385000228881836;28,0;28,2450008392334;15,663222312927246;8715400
2001-05-22;28,200000762939453;29,389999389648438;28,200000762939453;29,31999969482422;16,259368896484375;15513000
2001-05-23;29,024999618530273;29,65999984741211;28,985000610351562;29,30500030517578;16,25104522705078;13571400
2001-05-24;29,5;30,0;29,405000686645508;29,9950008392334;16,633686065673828;12146400
2001-05-25;30,0;30,0;29,280000686645508;29,354999542236328;16,278779983520508;9941600
2001-05-29;29,5;29,864999771118164;29,475000381469727;29,799999237060547;16,525550842285156;9957200
2001-05-30;29,524999618530273;29,924999237060547;29,139999389648438;29,389999389648438;16,45277976989746;11551000
2001-05-31;29,514999389648438;29,725000381469727;29,174999237060547;29,625;16,584339141845703;12036400
2001-06-01;29,75;29,75;29,0;29,049999237060547;16,262447357177734;11831400
2001-06-04;29,5;29,524999618530273;29,139999389648438;29,315000534057617;16,410795211791992;9570200
2001-06-05;29,5;30,100000381469727;29,395000457763672;29,975000381469727;16,780263900756836;14663000
2001-06-06;29,549999237060547;29,934999465942383;29,274999618530273;29,844999313354492;16,707481384277344;11213600
2001-06-07;29,450000762939453;29,924999237060547;29,03499984741211;29,799999237060547;16,682294845581055;11580200
2001-06-08;29,399999618530273;29,625;29,225000381469727;29,514999389648438;16,522748947143555;5187800
2001-06-11;29,375;29,700000762939453;29,229999542236328;29,3700008392334;16,44158935546875;5647000
2001-06-12;29,290000915527344;29,649999618530273;28,885000228881836;29,549999237060547;16,542343139648438;9361000
2001-06-13;29,475000381469727;29,950000762939453;29,424999237060547;29,549999237060547;16,542343139648438;8730000
2001-06-14;29,350000381469727;29,475000381469727;28,774999618530273;28,850000381469727;16,150484085083008;10238200
2001-06-15;28,575000762939453;29,290000915527344;28,56999969482422;29,010000228881836;16,240049362182617;19419000
