Date,RSI
2000-10-11,35.33607088826453
2000-10-13,32.65262252794497
2000-10-16,33.2749178532311
2000-10-17,32.10737687592476
2000-10-18,33.532008830022065
2000-10-19,35.648642872408644
2000-10-20,34.145342886386885
2000-10-23,29.873039581777448
2000-10-24,26.086142322097373
2000-10-25,25.606617647058826
2000-10-26,32.87832827772161
2000-10-27,40.36024016010674
2000-10-30,40.68668104163211
2000-10-31,41.10943522708229
2000-11-01,43.23228762777581
2000-11-03,40.61806385521598
2000-11-06,40.86039789151505
2000-11-07,37.479777098687755
2000-11-08,38.18681318681318
2000-11-09,37.90219960007271
2000-11-10,39.799818016378524
2000-11-13,39.56222865412445
2000-11-14,42.394239423942395
2000-11-16,43.11607469791284
2000-11-17,44.797412973178616
2000-11-20,50.79237713139419
2000-11-21,49.37048503611971
