;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
5;35;1;50;2;2;3;6;0,02;0,07;K;in_sample_1_2x;9,54621277251222;0,47461281461485366;-18,739048514631452;103,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,370338400928397;3,4367771474408646;2,2321937968842795;5,116279069767442;3,4761489091883777
32;35;1;50;2;2;3;6;0,02;0,07;K;in_sample_2_2x;8,219727957027011;0,5252067325823686;-30,638950504511353;87,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;9,254175127536877;8,787803107030832;6,304528049804801;5,116279069767442;8,108419816606363
59;35;1;50;2;2;3;6;0,02;0,07;K;in_sample_3_2x;19,472638434277645;1,0210506429141208;-11,13715800399515;53,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;4,8717641234994415;5,524573069771233;7,789549675032189;4,827586206896552;5,468796341709933
86;35;1;50;2;2;3;6;0,02;0,07;K;out_of_sample_val_1;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;17,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;10,0;10,0;10,0;8,0;9,714285714285714
113;35;1;50;2;2;3;6;0,02;0,07;K;out_of_sample_val_2;28,545132402831275;1,228800957408598;-8,823193576472733;32,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;6,264391489141124;3,62317453674149;5,362625551394549;2,5;4,843164156042986
6;35;1;50;2;2;3;6;0,03;0,05;K;in_sample_1_2x;10,14903655610273;0,5230551473051467;-18,739048514631452;102,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,9259909560602395;4,360559435447378;2,2321937968842795;4,883720930232558;3,945000923741759
33;35;1;50;2;2;3;6;0,03;0,05;K;in_sample_2_2x;-1,3202636671437618;-0,09657562124148153;-30,01727166811421;93,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;1,058982925127508;1,3063483295205194;6,6466219028560465;6,511627906976744;2,7068421777509077
60;35;1;50;2;2;3;6;0,03;0,05;K;in_sample_3_2x;30,09774812006125;1,3677136405944226;-11,05762602666177;55,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;10,0;10,0;7,870617566211252;5,517241379310345;9,0554084207888
87;35;1;50;2;2;3;6;0,03;0,05;K;out_of_sample_val_1;-3,8085783631246373;-0,4549314836084073;-8,736907410856109;16,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;7,591741779531375;8,059060481443698;7,925636206120173;6,0;7,545568929657385
114;35;1;50;2;2;3;6;0,03;0,05;K;out_of_sample_val_2;32,12757832436597;1,442105040560454;-8,64565990034103;34,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;8,559555327512012;8,02826115141992;5,814265657064115;4,166666666666667;7,388017229872379
7;35;1;50;2;2;3;6;0,03;0,06;K;in_sample_1_2x;8,494065083601532;0,4257150224549882;-18,739048514631452;100,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;2,4005217353729176;2,504309369542982;2,2321937968842795;4,4186046511627906;2,694426056178827
34;35;1;50;2;2;3;6;0,03;0,06;K;in_sample_2_2x;2,9387206027217116;0,2006397740808756;-29,271459480992;89,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;4,7176019316844995;4,882524986206419;7,057023141900676;5,5813953488372094;5,222324894029174
61;35;1;50;2;2;3;6;0,03;0,06;K;in_sample_3_2x;27,832550466177054;1,2759657478371134;-11,05764310082289;51,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;8,90669666294771;8,815532685099335;7,8706001623155855;4,137931034482759;8,051383793691448
88;35;1;50;2;2;3;6;0,03;0,06;K;out_of_sample_val_1;-3,8085783631246373;-0,4549314836084073;-8,736907410856109;16,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;7,591741779531375;8,059060481443698;7,925636206120173;6,0;7,545568929657385
