,indice,indice_original_upper_pivot,valor_rsi,resist_slope,resist_intercept,inicio_janela,fim_janela
41,84.0,747.0,72.23707537011373,-0.10276743757865214,149.00435124136686,746.0,815.0
42,93.0,849.0,80.67028863833474,-0.06034871619619717,131.90634868890615,811.0,880.0
43,94.0,849.0,80.67028863833474,-0.3675231448294391,392.69743859852855,816.0,885.0
44,95.0,849.0,80.67028863833474,-0.3675893370504434,392.7536357941612,819.0,888.0
45,96.0,850.0,80.3026979367384,-0.909369994111232,853.2671929312855,827.0,896.0
46,97.0,850.0,80.3026979367384,-0.747555136763475,715.7245641856921,834.0,903.0
47,98.0,850.0,80.3026979367384,-0.6443919804512928,628.0358813203372,843.0,912.0
48,99.0,850.0,80.3026979367384,-0.5667115706757755,562.0075330111475,849.0,918.0
49,100.0,858.0,71.02059619492383,-0.4461369766691455,453.80612217705067,858.0,927.0
50,120.0,1014.0,77.18738704851904,-0.13872499430884747,217.85453127769037,988.0,1057.0
51,121.0,1058.0,69.11010078870555,-0.1907364254425861,270.9092389069616,1014.0,1083.0
52,122.0,1058.0,69.11010078870555,-0.22468184696590715,306.8234948786353,1020.0,1089.0
53,123.0,1093.0,64.68873556961019,-0.12641019078029558,202.85507409247327,1025.0,1094.0
54,124.0,1095.0,68.58560462454906,-0.01425669443014293,84.19668502555557,1047.0,1116.0
55,125.0,1095.0,68.58560462454906,-0.014215676283758456,84.15177015526457,1058.0,1127.0
56,130.0,1144.0,89.92903387775235,-0.3076445695503378,441.87442144333875,1120.0,1189.0
57,131.0,1144.0,89.92903387775235,-0.3077119850675344,441.9515447950117,1126.0,1195.0
58,132.0,1146.0,89.31359845124175,-0.5328047512069216,699.907843334374,1135.0,1204.0
59,133.0,1146.0,89.31359845124175,-0.5328328266784986,699.9400178248012,1142.0,1211.0
60,134.0,1146.0,89.31359845124175,-0.5327607813106359,699.8574538332305,1146.0,1215.0
61,135.0,1196.0,62.67190893587978,-0.15447969853370488,247.4296283821908,1154.0,1223.0
62,136.0,1196.0,62.67190893587978,-0.2778240480569146,394.9494704119496,1164.0,1233.0
63,137.0,1196.0,62.67190893587978,-0.3461394298883399,476.6546670823343,1169.0,1238.0
64,138.0,1244.0,55.67097047656449,-0.14588119603070293,237.14717833875895,1176.0,1245.0
65,145.0,1260.0,67.98634725481125,-0.08508202854875696,175.189703226245,1224.0,1293.0
66,146.0,1260.0,67.98634725481125,-0.5074805293943913,707.4118142917442,1229.0,1298.0
67,147.0,1260.0,67.98634725481125,-0.5009601457060946,699.1961308444904,1234.0,1303.0
68,148.0,1311.0,59.89953975169486,-0.15858946029651735,267.8103222004291,1245.0,1314.0
69,149.0,1311.0,59.89953975169486,-0.15862761627322475,267.8603446858925,1246.0,1315.0
70,150.0,1260.0,67.98634725481125,-0.08489209172706293,174.95038283091054,1255.0,1324.0
71,151.0,1260.0,67.98634725481125,-0.04770360730753737,128.09289246230833,1260.0,1329.0
72,158.0,1350.0,75.60310668657355,-0.041466878858167404,131.58339314509954,1315.0,1384.0
73,159.0,1361.0,74.36705140643116,-0.2162199919024433,368.6424603856565,1325.0,1394.0
74,160.0,1361.0,74.36705140643116,-0.6250077683143902,925.0026240823163,1342.0,1411.0
75,161.0,1416.0,57.343619733897725,-0.30959423207549047,495.7290523527922,1348.0,1417.0
76,162.0,1418.0,59.547348306622055,-0.2600401888530448,428.28433610023956,1350.0,1419.0
77,163.0,1418.0,59.547348306622055,-0.2600075086654633,428.237995594249,1356.0,1425.0
78,164.0,1362.0,73.30540450375631,-0.24561224768828865,407.8292858552054,1362.0,1431.0
79,165.0,1418.0,59.547348306622055,-0.06595816517089335,153.07602651894882,1379.0,1448.0
80,177.0,141.0,80.88533616812958,-0.07374603127595286,91.28352657803893,86.0,225.0
81,178.0,141.0,80.88533616812958,-0.1335590084992509,99.71715636652397,91.0,230.0
82,179.0,141.0,80.88533616812958,-0.17747204580417764,105.90889462651863,96.0,235.0
83,180.0,141.0,80.88533616812958,-0.1774418958528701,105.90464348338426,103.0,242.0
84,190.0,261.0,86.73602332936582,-0.08760707585644974,109.6014701278992,191.0,330.0
85,191.0,261.0,86.73602332936582,-0.35869258204867627,180.35478724407034,207.0,346.0
86,192.0,261.0,86.73602332936582,-0.13149686504961508,121.05670510731537,222.0,361.0
87,193.0,261.0,86.73602332936582,-0.1219689693095551,118.5699243191597,226.0,365.0
88,194.0,261.0,86.73602332936582,-0.12194453621330546,118.56354728103855,231.0,370.0
89,195.0,261.0,86.73602332936582,-0.1219501729228527,118.56501846223037,236.0,375.0
90,196.0,261.0,86.73602332936582,-0.12195627109703265,118.56661008569134,239.0,378.0
91,197.0,261.0,86.73602332936582,-0.12195329834233913,118.56583419671634,257.0,396.0
92,198.0,261.0,86.73602332936582,-0.12196526971488686,118.56895872495129,261.0,400.0
93,199.0,264.0,80.32256038436694,-0.060235536480616636,96.22474201524973,263.0,402.0
94,217.0,491.0,85.47810597021473,-0.3040013833210097,234.74278518083048,427.0,566.0
95,218.0,491.0,85.47810597021473,-0.30982509547020515,237.60222784608544,429.0,568.0
96,219.0,491.0,85.47810597021473,-0.22134863340623762,194.1602849726774,438.0,577.0
97,220.0,491.0,85.47810597021473,-0.13521643067864636,151.8693734334301,458.0,597.0
98,221.0,491.0,85.47810597021473,-0.0756402223004127,122.61745511971736,461.0,600.0
99,222.0,491.0,85.47810597021473,-0.06008959655157346,114.98209787703729,491.0,630.0
100,229.0,601.0,78.86464160359395,-0.12899500769142236,156.3906412261388,542.0,681.0
101,230.0,601.0,78.86464160359395,-0.20109260302946275,199.72129602430107,551.0,690.0
102,231.0,601.0,78.86464160359395,-0.20112530049514338,199.74094720117512,556.0,695.0
103,232.0,601.0,78.86464160359395,-0.1654442135513479,178.29661394795403,566.0,705.0
104,233.0,601.0,78.86464160359395,-0.14213265478066675,164.28636712677468,569.0,708.0
