,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.34158253468218236,942,-12.615633945772316
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,3,2018-01-01,2023-12-31,-0.22046266057617725,667,-14.226277434913627
0,14,5,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.31412413286323004,942,4.103583030598003
1,14,7,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.29587442249885965,942,31.52769243033549
2,14,9,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.26383054105237314,942,20.462071261574735
3,14,11,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.25331223341728526,942,13.366950493587154
4,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.25331223341728526,942,4.657249407649687
5,21,7,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.25331223341728526,942,20.644302762138196
6,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.2866534117454933,942,7.408370864454042
7,21,11,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.4484550769242108,942,-18.70749525883825
8,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.1876920623275461,892,6.541745903754645
9,35,7,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.32933289853662595,892,-20.491481522641223
10,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.2018649452543686,942,1.5493923960993499
11,35,11,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.20948867027460605,892,-7.746269944224139
12,42,5,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.3093427621539905,1255,-19.806670273631198
13,42,7,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.4401368472702196,1175,-38.98535784472594
14,42,9,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.2625199587793531,742,8.0424562647609
15,42,11,50,100,200,300,2,3,4,6,-0.02,0.06,4,2018-01-01,2023-12-31,-0.319387774130256,1175,-12.798450555911032
