,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
16,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.20041687422334042,633,42.80183978312385
17,21,9,50,100,200,300,2,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.3012859451039409,357,17.640344125116314
18,21,9,50,100,200,300,2,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.20041687422334042,633,42.80183978312385
19,21,9,50,100,200,300,2,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.3012859451039409,357,17.640344125116314
20,21,9,50,100,200,300,2,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5058528541157172,930,-1.026156872038797
21,21,9,50,100,200,300,2,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5833149992402,930,-18.539360730161775
22,21,9,50,100,200,300,2,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5058528541157172,930,-1.026156872038797
23,21,9,50,100,200,300,2,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5833149992402,930,-18.539360730161775
24,21,9,50,100,200,300,3,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5349648557627251,930,-26.22454398726876
25,21,9,50,100,200,300,3,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5349648557627251,930,-26.22454398726876
26,21,9,50,100,200,300,3,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5349648557627251,930,-26.22454398726876
27,21,9,50,100,200,300,3,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5349648557627251,930,-26.22454398726876
28,21,9,50,100,200,300,3,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5990216912358586,930,-35.83260164934143
29,21,9,50,100,200,300,3,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5990216912358586,930,-35.83260164934143
30,21,9,50,100,200,300,3,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5882404511833188,930,-34.10030223480281
31,21,9,50,100,200,300,3,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5882404511833188,930,-34.10030223480281
32,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.3849847407457232,930,-1.1082163918509735
33,35,5,50,100,200,300,2,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.3849847407457232,930,-1.0997292933459306
34,35,5,50,100,200,300,2,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.3849847407457232,930,-3.411154099790622
35,35,5,50,100,200,300,2,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.3849847407457232,930,-3.411154099790622
36,35,5,50,100,200,300,2,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.21717681270116262,297,79.6503026992037
37,35,5,50,100,200,300,2,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.26352571680344117,793,28.955775122668996
38,35,5,50,100,200,300,2,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.21717681270116262,297,79.65255817753302
39,35,5,50,100,200,300,2,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.26352571680344117,628,38.48628057560478
40,35,5,50,100,200,300,3,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.4326979815125319,930,-2.67148545406981
41,35,5,50,100,200,300,3,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.34260135381376433,1345,-22.26941230765145
42,35,5,50,100,200,300,3,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.4360934974069448,930,-3.254033210556571
43,35,5,50,100,200,300,3,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.3465361319025896,1345,-22.734659102815698
44,35,5,50,100,200,300,3,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.31234907996401284,733,5.79988860356535
45,35,5,50,100,200,300,3,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.31234907996401284,733,5.79988860356535
46,35,5,50,100,200,300,3,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.29437825032096054,733,13.623500535239714
47,35,5,50,100,200,300,3,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.29437825032096054,733,13.623500535239714
48,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
49,35,9,50,100,200,300,2,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
50,35,9,50,100,200,300,2,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
51,35,9,50,100,200,300,2,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5411424289958302,930,-30.490773187851175
52,35,9,50,100,200,300,2,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5366179801202222,930,-19.84372218671284
53,35,9,50,100,200,300,2,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5366179801202222,930,-19.84372218671284
54,35,9,50,100,200,300,2,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5366179801202222,930,-19.847555640199047
55,35,9,50,100,200,300,2,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5366179801202222,930,-19.847555640199047
56,35,9,50,100,200,300,3,3,4,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5366201067762852,930,-29.80571721244661
57,35,9,50,100,200,300,3,3,4,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5366201067762852,930,-29.80571721244661
58,35,9,50,100,200,300,3,3,4,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5366201067762852,930,-29.80571721244661
59,35,9,50,100,200,300,3,3,4,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5366201067762852,930,-29.80571721244661
60,35,9,50,100,200,300,3,3,6,6,-0.02,0.06,2,2018-01-01,2023-12-31,-0.5099435381419648,930,-24.222768063673072
61,35,9,50,100,200,300,3,3,6,6,-0.02,0.12,2,2018-01-01,2023-12-31,-0.5099435381419648,930,-24.222768063673072
62,35,9,50,100,200,300,3,3,6,6,-0.04,0.06,2,2018-01-01,2023-12-31,-0.5099435381419648,930,-24.222768063673072
63,35,9,50,100,200,300,3,3,6,6,-0.04,0.12,2,2018-01-01,2023-12-31,-0.5099435381419648,930,-24.222768063673072
