;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;cenario
21;35;1;50;2;2;3;6;0,01;0,05;HPQ;42,20113250941121;1,3650494000400777;-12,966241119448974;82,5;Media_dos_resultados_por_ativo
22;35;1;50;2;2;3;6;0,01;0,05;NEE;36,06002232845873;1,6490351320610548;-11,141627258595367;65,5;Media_dos_resultados_por_ativo
23;35;1;50;2;2;3;6;0,01;0,05;TJX;24,73534563127208;1,0374261660119393;-13,371534042022438;69,0;Media_dos_resultados_por_ativo
24;35;1;50;2;2;3;6;0,01;0,06;K;18,762989191094505;0,9887282810000502;-13,848057608200094;61,0;Media_dos_resultados_por_ativo
25;35;1;50;2;2;3;6;0,02;0,05;MCO;10,340936140479284;0,5289968926569482;-17,02417499239688;74,0;Media_dos_resultados_por_ativo
26;35;1;50;2;2;3;6;0,02;0,05;NOC;43,050482475768234;1,77806260502441;-10,406256099722683;60,5;Media_dos_resultados_por_ativo
27;35;1;70;2;2;3;6;0,01;0,05;BSX;24,77177812776336;0,7999312668033121;-19,51334432764234;63,0;Media_dos_resultados_por_ativo
28;42;1;50;2;2;3;6;0,01;0,05;CSCO;36,954967460489904;1,1475257638598868;-19,236825403967742;75,5;Media_dos_resultados_por_ativo
29;42;1;50;2;2;3;6;0,01;0,05;CVS;14,320712596224661;0,6018513687026683;-22,21592939037984;72,0;Media_dos_resultados_por_ativo
30;42;1;50;2;2;3;6;0,01;0,05;GE;29,926375872245025;1,3552292408958069;-15,205773524719945;71,0;Media_dos_resultados_por_ativo
31;42;1;50;2;2;3;6;0,01;0,05;PHM;44,79942439651283;1,2875779454680607;-13,886691477343716;85,0;Media_dos_resultados_por_ativo
32;42;1;50;2;2;3;6;0,01;0,06;ED;21,521161598909835;1,3254990104510498;-10,595770061197719;60,5;Media_dos_resultados_por_ativo
33;42;1;50;2;2;3;6;0,01;0,07;AES;140,26611376218366;1,6587147322868505;-17,00978245349207;78,5;Media_dos_resultados_por_ativo
34;42;1;50;2;2;3;6;0,02;0,06;LLY;39,64769646316823;1,435667290623226;-20,408666364178927;64,0;Media_dos_resultados_por_ativo
35;42;1;60;2;2;3;6;0,03;0,05;MSFT;25,31575077963112;1,1444748720618425;-13,653479715409716;52,5;Media_dos_resultados_por_ativo
36;42;1;70;2;2;4;6;0,01;0,06;COST;27,061125265584863;1,2450048680185284;-12,525749703006971;50,0;Media_dos_resultados_por_ativo
37;49;1;50;2;2;3;6;0,01;0,05;PFE;15,449246124447757;0,7820267802071028;-13,156099077198618;63,5;Media_dos_resultados_por_ativo
38;49;1;50;2;2;3;6;0,01;0,05;SO;24,0043116199506;1,471900179902455;-11,192291483678474;55,5;Media_dos_resultados_por_ativo
39;49;1;60;2;2;3;6;0,01;0,05;AIG;29,933956209064718;1,2883790906517631;-11,746377833182274;67,0;Media_dos_resultados_por_ativo
40;56;1;50;2;2;3;6;0,01;0,06;CL;10,912302303959242;0,798142084944863;-13,113562491050995;51,0;Media_dos_resultados_por_ativo
41;56;1;50;2;2;4;6;0,02;0,05;YUM;15,276265887487138;0,9608675520782947;-18,65014897320208;49,0;Media_dos_resultados_por_ativo
42;56;1;60;2;2;3;6;0,01;0,06;CINF;15,605871235533975;0,7769126748619107;-13,212241445992913;52,5;Media_dos_resultados_por_ativo
43;56;1;60;2;2;3;6;0,01;0,06;MAR;28,878124907929813;1,362378681522554;-12,189135482777973;52,0;Media_dos_resultados_por_ativo
44;63;1;50;2;2;3;6;0,01;0,05;AEP;25,01610357311388;1,1879139866312252;-9,929216023632815;57,0;Media_dos_resultados_por_ativo
45;63;1;50;2;2;3;6;0,01;0,05;BA;21,996765360345705;0,9666570295130825;-13,44852287697793;71,0;Media_dos_resultados_por_ativo
46;63;1;50;2;2;3;6;0,01;0,05;VMC;21,48627822509677;1,1744093061416143;-10,740749303553493;55,5;Media_dos_resultados_por_ativo
47;63;1;50;2;2;3;6;0,02;0,05;ITW;19,949610112915416;1,0873978173712326;-14,638544742742216;55,5;Media_dos_resultados_por_ativo
48;63;1;50;2;2;4;6;0,01;0,06;AEE;18,08271799735345;1,2298457717175881;-8,877606051764197;43,5;Media_dos_resultados_por_ativo
49;63;1;70;2;2;3;6;0,01;0,06;MMC;12,536006232278254;0,6197580675160621;-19,81549797390715;48,5;Media_dos_resultados_por_ativo
