;indice_original_lower_pivot;support_slope;support_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;support_slope_rounded
146;887,0;-0,04467822001915336;83,35583385781482;43,72625270082578;1;875,0;933,0;3,0;838,0;935,0;378,0;-0,04468
147;887,0;0,12844278883361085;-70,20250099458704;43,72625270082578;1;749,0;918,0;6,0;830,0;924,0;372,0;0,12844
148;887,0;0,16011143613974863;-98,29259115513126;43,72625270082578;1;887,0;915,0;2,0;827,0;917,0;368,0;0,16011
149;887,0;0,4478101189073776;-353,48132277001815;43,72625270082578;1;887,0;906,0;3,0;824,0;914,0;364,0;0,44781
150;887,0;0,5513871625618906;-445,3541604915711;43,72625270082578;1;887,0;901,0;2,0;813,0;905,0;360,0;0,55139
151;887,0;1,7841715232149669;-1538,8338883908498;43,72625270082578;1;887,0;896,0;2,0;811,0;900,0;358,0;1,78417
152;924,0;-0,04467822001915336;83,35583385781482;42,07315856011711;1;875,0;947,0;3,0;848,0;954,0;387,0;-0,04468
153;924,0;0,7158791622263445;-619,3991873370252;42,07315856011711;1;924,0;947,0;3,0;862,0;954,0;396,0;0,71588
154;924,0;1,193913703927421;-1061,10310386882;42,07315856011711;1;924,0;939,0;3,0;853,0;947,0;390,0;1,19391
155;924,0;1,212076597388208;-1077,885617426587;42,07315856011711;1;924,0;936,0;2,0;848,0;938,0;386,0;1,21208
156;955,0;-2,188815574853529;2131,346728677615;41,0278546924948;1;947,0;1035,0;2,0;945,0;1036,0;436,0;-2,18882
157;955,0;-1,1846255891583515;1172,3452923387206;41,0278546924948;1;936,0;1026,0;3,0;939,0;1028,0;434,0;-1,18463
158;955,0;-0,13802877251710868;172,8453324463336;41,0278546924948;1;955,0;1043,0;3,0;939,0;1044,0;433,0;-0,13803
159;955,0;-0,03371947960071964;73,22995771118205;41,0278546924948;1;887,0;955,0;3,0;875,0;964,0;400,0;-0,03372
160;965,0;-0,13802877251710868;172,8453324463336;39,64756696732371;1;915,0;1021,0;3,0;928,0;1025,0;427,0;-0,13803
161;965,0;-0,12100585957992394;156,4182214619503;39,64756696732371;1;824,0;1053,0;4,0;936,0;1054,0;431,0;-0,12101
162;965,0;-0,05916077055593648;96,73771055380242;39,64756696732371;1;875,0;1011,0;5,0;890,0;1013,0;405,0;-0,05916
163;965,0;-0,05229084273720602;90,10823020872752;39,64756696732371;1;875,0;974,0;5,0;884,0;976,0;401,0;-0,05229
164;965,0;0,10957458763037692;-66,09191009599002;39,64756696732371;1;965,0;1011,0;2,0;906,0;1020,0;410,0;0,10957
165;965,0;1,3009822969461946;-1215,8003495857542;39,64756696732371;1;965,0;980,0;3,0;896,0;990,0;406,0;1,30098
166;965,0;1,4669584446960915;-1375,9673321644045;39,64756696732371;1;965,0;977,0;2,0;890,0;979,0;404,0;1,46696
167;965,0;1,886261597869319;-1780,5948749765691;39,64756696732371;1;965,0;974,0;2,0;887,0;976,0;402,0;1,88626
168;1021,0;-0,3208422471621847;360,4511731834385;32,87123883084797;1;939,0;947,0;2,0;970,0;1075,0;444,0;-0,32084
169;1021,0;-0,12100585957992394;156,4182214619503;32,87123883084797;1;824,0;862,0;3,0;933,0;1022,0;430,0;-0,12101
170;1021,0;-0,10987104760918516;145,049578439826;32,87123883084797;1;924,0;1069,0;6,0;974,0;1075,0;445,0;-0,10987
171;1021,0;0,01380482428053804;18,776513240418634;32,87123883084797;1;777,0;1053,0;5,0;970,0;1059,0;443,0;0,0138
172;1060,0;-0,9249082241029072;1008,9889855231714;28,58626797408975;1;1043,0;1132,0;3,0;1042,0;1132,0;484,0;-0,92491
173;1060,0;-0,17912953586743016;218,4635759935657;28,58626797408975;1;1026,0;1124,0;3,0;1026,0;1124,0;476,0;-0,17913
174;1060,0;-0,10987104760918516;145,049578439826;28,58626797408975;1;924,0;1109,0;6,0;991,0;1110,0;456,0;-0,10987
175;1060,0;-0,04289151226414391;74,05127097408229;28,58626797408975;1;793,0;1143,0;4,0;1060,0;1149,0;490,0;-0,04289
176;1060,0;0,35476980044947737;-347,46972050235627;28,58626797408975;1;1060,0;1124,0;2,0;1042,0;1132,0;483,0;0,35477
177;1060,0;0,6035872171327067;-611,2161821865793;28,58626797408975;1;1060,0;1117,0;4,0;1014,0;1124,0;469,0;0,60359
178;1060,0;0,7246404180387784;-739,5325751470153;28,58626797408975;1;1060,0;1097,0;2,0;1011,0;1100,0;467,0;0,72464
179;1060,0;0,8592508560840988;-882,2196394750549;28,58626797408975;1;1060,0;1092,0;2,0;1006,0;1096,0;463,0;0,85925
180;1060,0;1,7741451798660384;-1852,007622683911;28,58626797408975;1;1060,0;1076,0;2,0;991,0;1092,0;455,0;1,77415
181;1069,0;-0,3033686848012845;368,85469864545723;44,5535745928841;1;1069,0;1157,0;3,0;1069,0;1158,0;492,0;-0,30337
182;1069,0;-0,3024681825684557;367,8920617585633;44,5535745928841;1;1069,0;1143,0;2,0;1067,0;1156,0;491,0;-0,30247
183;1132,0;-0,764605406942738;891,0313997502509;25,49807909107139;1;1092,0;1169,0;2,0;1079,0;1175,0;498,0;-0,76461
184;1132,0;-0,6938061088476657;810,886594306629;25,49807909107139;1;1076,0;1162,0;2,0;1072,0;1165,0;494,0;-0,69381
185;1132,0;-0,305637950428013;371,4802389755821;25,49807909107139;1;1069,0;1169,0;3,0;1072,0;1175,0;493,0;-0,30564
186;1132,0;-0,04289151226414391;74,05127097408229;25,49807909107139;1;793,0;1137,0;4,0;1047,0;1142,0;487,0;-0,04289
187;1132,0;2,625049304469749;-2946,057733568685;25,49807909107139;1;1132,0;1137,0;2,0;1053,0;1142,0;488,0;2,62505
188;1157,0;-1,3208251664567423;1546,051847920822;17,857130330371064;1;1143,0;1232,0;2,0;1142,0;1232,0;534,0;-1,32083
189;1157,0;-1,0383097641524537;1219,18152745476;17,857130330371064;1;1137,0;1220,0;2,0;1137,0;1226,0;532,0;-1,03831
190;1157,0;-0,305637950428013;371,4802389755821;17,857130330371064;1;1069,0;1220,0;3,0;1091,0;1221,0;502,0;-0,30564
191;1157,0;0,38803215033182814;-431,09606760355405;17,857130330371064;1;1157,0;1238,0;2,0;1157,0;1246,0;538,0;0,38803
192;1157,0;0,5916997248490548;-666,7394513199853;17,857130330371064;1;1157,0;1232,0;2,0;1148,0;1237,0;537,0;0,5917
193;1157,0;0,6220379056141321;-701,8407264651797;17,857130330371064;1;1157,0;1227,0;2,0;1142,0;1232,0;533,0;0,62204
194;1157,0;0,700844539814107;-793,0200022345507;17,857130330371064;1;1157,0;1220,0;2,0;1130,0;1226,0;527,0;0,70084
195;1157,0;1,0308190469435692;-1174,8005069833384;17,857130330371064;1;1157,0;1208,0;2,0;1124,0;1213,0;525,0;1,03082
196;1157,0;1,1224350491655166;-1280,8002215541317;17,857130330371064;1;1157,0;1205,0;2,0;1117,0;1207,0;521,0;1,12244
197;1157,0;1,2185475585306191;-1392,0023948895553;17,857130330371064;1;1157,0;1200,0;2,0;1115,0;1204,0;519,0;1,21855
198;1157,0;1,5642987819265046;-1792,0365603585947;17,857130330371064;1;1157,0;1196,0;2,0;1109,0;1199,0;515,0;1,5643
199;1157,0;1,800177087639169;-2064,9477600681475;17,857130330371064;1;1157,0;1188,0;3,0;1101,0;1195,0;509,0;1,80018
200;1157,0;1,8052561481176443;-2070,8242330417434;17,857130330371064;1;1157,0;1181,0;2,0;1091,0;1187,0;501,0;1,80526
201;1162,0;0,2394120649289801;-247,10440187482823;31,092417572646653;1;1162,0;1238,0;2,0;1162,0;1251,0;539,0;0,23941
202;1169,0;0,14155841158646876;-125,96157903679918;39,520204107782796;1;1169,0;1257,0;2,0;1167,0;1258,0;540,0;0,14156
203;1238,0;-2,157812531133505;2720,6596480505286;49,28773450724914;1;1232,0;1320,0;2,0;1230,0;1321,0;580,0;-2,15781
204;1238,0;-1,1010953832828334;1412,4438190113967;49,28773450724914;1;1227,0;1314,0;2,0;1218,0;1316,0;572,0;-1,1011
205;1238,0;-0,3548972746885841;488,65056057171626;49,28773450724914;1;1176,0;1301,0;3,0;1180,0;1303,0;546,0;-0,3549
206;1238,0;-0,3499470374940142;482,5221669248387;49,28773450724914;1;1176,0;1257,0;3,0;1173,0;1262,0;543,0;-0,34995
207;1238,0;-0,16821845057379026;257,5421763176015;49,28773450724914;1;1238,0;1320,0;3,0;1185,0;1327,0;549,0;-0,16822
208;1238,0;-0,13684257394691143;218,69884105352548;49,28773450724914;1;1238,0;1270,0;3,0;1180,0;1270,0;545,0;-0,13684
209;1238,0;0,9200470282051313;-1089,7304864107034;49,28773450724914;1;1238,0;1257,0;2,0;1173,0;1262,0;542,0;0,92005
210;1263,0;-0,13684257394691143;218,69884105352548;45,866670158576355;1;1238,0;1263,0;2,0;1176,0;1265,0;544,0;-0,13684
211;1270,0;-0,28027515281264315;399,85418816094466;43,90474408888785;1;1176,0;1232,0;2,0;1249,0;1352,0;585,0;-0,28028
212;1270,0;-0,1511525699424063;235,86850791574386;43,90474408888785;1;1238,0;1352,0;4,0;1257,0;1354,0;588,0;-0,15115
