;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi
1;3;60;2;3;4;6;0,02;0,05;FDX;out_of_sample_final_2;41,50409626203062;1,758321077075567;-5,592565607069977;26,0;49
0;3;80;2;3;4;6;0,03;0,05;BAC;out_of_sample_final_1;7,567348513109917;0,6438078225739752;-11,648924778742565;23,0;42
1;3;80;2;3;4;6;0,03;0,05;BAC;out_of_sample_final_2;11,695020141864676;0,8613446822282709;-16,130061071868496;22,0;42
0;3;50;2;3;4;6;0,03;0,05;CL;out_of_sample_final_1;15,977951590087567;1,263293488206255;-8,177096953966478;30,0;49
1;3;50;2;3;4;6;0,03;0,05;CL;out_of_sample_final_2;3,761533876348677;0,3719215555932487;-28,76037297308708;22,0;49
0;3;60;2;3;3;6;0,01;0,06;COF;out_of_sample_final_1;21,135082499569634;1,0769385230952837;-16,909358115679073;46,0;49
1;3;60;2;3;3;6;0,01;0,06;COF;out_of_sample_final_2;6,546310387788856;0,3777677956303689;-14,640482710188683;34,0;49
0;3;60;2;3;4;6;0,04;0,06;MMC;out_of_sample_final_1;13,968272284258742;0,7494161379240827;-16,7135105058145;23,0;42
1;3;60;2;3;4;6;0,04;0,06;MMC;out_of_sample_final_2;16,72711198296195;1,1527990252364135;-11,513539639073311;21,0;42
0;3;70;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_1;18,199588823266865;1,453346666228614;-9,78479873390925;34,0;42
1;3;70;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_2;5,169882206421783;0,4085752398665538;-16,290547832650905;30,0;42
0;3;50;2;3;4;6;0,02;0,05;HAS;out_of_sample_final_1;9,105465580064376;0,7881907758753898;-13,598003212434715;29,0;49
1;3;50;2;3;4;6;0,02;0,05;HAS;out_of_sample_final_2;17,075345628437088;0,9126941623916256;-14,597941986129804;35,0;49
0;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_1;10,560147048728364;0,8245035045779615;-13,558618872870609;37,0;49
1;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_2;24,066987815121266;1,583389443217164;-12,194815525206735;32,0;49
0;3;50;2;3;4;6;0,02;0,05;MMM;out_of_sample_final_1;7,710014134465615;0,6034642991780548;-14,37256319392034;31,0;49
1;3;50;2;3;4;6;0,02;0,05;MMM;out_of_sample_final_2;18,161106562896755;1,0950366994263745;-9,301542607910797;19,0;49
0;3;90;2;3;4;6;0,02;0,05;ED;out_of_sample_final_1;20,062023453319043;1,5273411432584512;-10,300699816589631;30,0;49
1;3;90;2;3;4;6;0,02;0,05;ED;out_of_sample_final_2;14,997757715421912;1,2965050494212718;-11,156072848200791;26,0;49
0;3;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_1;47,769686057890006;1,9856508727825903;-8,62713374610562;51,0;49
1;3;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_2;14,193541787324126;0,9268178360813136;-13,918087552996983;32,0;49
0;3;100;2;3;4;6;0,03;0,1;PNC;out_of_sample_final_1;22,66261923779338;1,261362478470599;-7,804087146417826;23,0;42
1;3;100;2;3;4;6;0,03;0,1;PNC;out_of_sample_final_2;19,66998933820825;0,9921940624536176;-21,922244092810605;23,0;42
0;3;90;2;3;4;6;0,02;0,05;MU;out_of_sample_final_1;40,01902125725756;1,822435614534857;-8,349105489858788;34,0;49
1;3;90;2;3;4;6;0,02;0,05;MU;out_of_sample_final_2;23,70780055371953;1,2329543800433116;-10,709889240938208;31,0;49
0;3;70;2;3;4;6;0,01;0,06;MCO;out_of_sample_final_1;12,67952514519013;1,055452032936364;-8,115723137548535;26,0;49
1;3;70;2;3;4;6;0,01;0,06;MCO;out_of_sample_final_2;14,66618595217346;1,0021480270677194;-13,669852389079283;33,0;49
0;3;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_1;10,340800838825782;0,8271084277233245;-7,765620045009236;39,0;49
1;3;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_2;27,52389026985447;1,3588006844428946;-10,410198464677345;31,0;49
0;3;80;2;3;4;6;0,05;0,06;WY;out_of_sample_final_1;21,747412545706844;1,2399026748549211;-16,9542656430314;32,0;49
1;3;80;2;3;4;6;0,05;0,06;WY;out_of_sample_final_2;1,98704498722424;0,1371787438682372;-17,66254058764837;22,0;49
0;3;100;2;3;4;6;0,03;0,05;CINF;out_of_sample_final_1;13,71272909388821;1,33670168735951;-7,449531910992746;22,0;49
1;3;100;2;3;4;6;0,03;0,05;CINF;out_of_sample_final_2;33,06282228136526;1,708247797016502;-12,322402716715333;30,0;49
0;3;100;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_1;16,227916740470594;1,53400128802833;-8,604435392584076;29,0;49
1;3;100;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_2;12,86750974307267;1,4014364317867036;-5,103060931818282;17,0;49
0;3;100;2;3;3;6;0,05;0,05;TJX;out_of_sample_final_1;20,136457796477742;1,3251711087783242;-15,344273712390422;29,0;49
1;3;100;2;3;3;6;0,05;0,05;TJX;out_of_sample_final_2;11,516516014165612;0,838400102484105;-16,70240702264021;24,0;49
0;3;50;2;3;4;6;0,01;0,05;SO;out_of_sample_final_1;29,277242016693503;2,126857398022246;-5,14280867346365;28,0;49
1;3;50;2;3;4;6;0,01;0,05;SO;out_of_sample_final_2;14,632078843128738;1,4160916231216063;-4,732422801404212;26,0;49
0;3;90;2;3;4;6;0,02;0,07;ITW;out_of_sample_final_1;28,5316576175644;1,5424490508096245;-17,306525563496646;32,0;42
1;3;90;2;3;4;6;0,02;0,07;ITW;out_of_sample_final_2;9,764589095006835;0,7167532676496589;-12,155154388348354;22,0;42
0;3;80;2;3;4;6;0,03;0,05;BAC;out_of_sample_final_1;7,567348513109917;0,6438078225739752;-11,648924778742565;23,0;42
1;3;80;2;3;4;6;0,03;0,05;BAC;out_of_sample_final_2;11,695020141864676;0,8613446822282709;-16,130061071868496;22,0;42
0;3;50;2;3;4;6;0,03;0,05;CL;out_of_sample_final_1;15,977951590087567;1,263293488206255;-8,177096953966478;30,0;49
1;3;50;2;3;4;6;0,03;0,05;CL;out_of_sample_final_2;3,761533876348677;0,3719215555932487;-28,76037297308708;22,0;49
0;3;60;2;3;3;6;0,01;0,06;COF;out_of_sample_final_1;21,135082499569634;1,0769385230952837;-16,909358115679073;46,0;49
1;3;60;2;3;3;6;0,01;0,06;COF;out_of_sample_final_2;6,546310387788856;0,3777677956303689;-14,640482710188683;34,0;49
0;3;60;2;3;4;6;0,04;0,06;MMC;out_of_sample_final_1;13,968272284258742;0,7494161379240827;-16,7135105058145;23,0;42
1;3;60;2;3;4;6;0,04;0,06;MMC;out_of_sample_final_2;16,72711198296195;1,1527990252364135;-11,513539639073311;21,0;42
0;3;70;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_1;18,199588823266865;1,453346666228614;-9,78479873390925;34,0;42
1;3;70;2;3;4;6;0,01;0,05;DHR;out_of_sample_final_2;5,169882206421783;0,4085752398665538;-16,290547832650905;30,0;42
0;3;50;2;3;4;6;0,01;0,05;HAS;out_of_sample_final_1;13,51214452446492;1,1866435672869446;-7,563808207143419;31,0;49
1;3;50;2;3;4;6;0,01;0,05;HAS;out_of_sample_final_2;23,662155167216035;1,1790394324568576;-10,21212420363218;38,0;49
0;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_1;10,560147048728364;0,8245035045779615;-13,558618872870609;37,0;49
1;3;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_2;24,066987815121266;1,583389443217164;-12,194815525206735;32,0;49
0;3;50;2;3;4;6;0,02;0,05;MMM;out_of_sample_final_1;7,710014134465615;0,6034642991780548;-14,37256319392034;31,0;49
1;3;50;2;3;4;6;0,02;0,05;MMM;out_of_sample_final_2;18,161106562896755;1,0950366994263745;-9,301542607910797;19,0;49
0;3;100;2;3;4;6;0,02;0,05;ED;out_of_sample_final_1;17,98893208166725;1,3991189947277738;-9,136791070686224;29,0;49
1;3;100;2;3;4;6;0,02;0,05;ED;out_of_sample_final_2;12,219058752338665;1,0418554891345653;-8,482916686743414;25,0;49
0;3;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_1;47,769686057890006;1,9856508727825903;-8,62713374610562;51,0;49
1;3;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_2;14,193541787324126;0,9268178360813136;-13,918087552996983;32,0;49
0;3;100;2;3;4;6;0,03;0,1;PNC;out_of_sample_final_1;22,66261923779338;1,261362478470599;-7,804087146417826;23,0;42
1;3;100;2;3;4;6;0,03;0,1;PNC;out_of_sample_final_2;19,66998933820825;0,9921940624536176;-21,922244092810605;23,0;42
0;3;90;2;3;4;6;0,02;0,05;MU;out_of_sample_final_1;40,01902125725756;1,822435614534857;-8,349105489858788;34,0;49
1;3;90;2;3;4;6;0,02;0,05;MU;out_of_sample_final_2;23,70780055371953;1,2329543800433116;-10,709889240938208;31,0;49
0;3;50;2;3;4;6;0,01;0,07;MCO;out_of_sample_final_1;16,790305676968842;1,3142647453432017;-8,510561956397812;29,0;49
1;3;50;2;3;4;6;0,01;0,07;MCO;out_of_sample_final_2;18,747712084055323;1,1399848888314157;-14,56102717004617;30,0;49
0;3;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_1;10,340800838825782;0,8271084277233245;-7,765620045009236;39,0;49
1;3;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_2;27,52389026985447;1,3588006844428946;-10,410198464677345;31,0;49
0;3;80;2;3;4;6;0,05;0,06;WY;out_of_sample_final_1;21,747412545706844;1,2399026748549211;-16,9542656430314;32,0;49
1;3;80;2;3;4;6;0,05;0,06;WY;out_of_sample_final_2;1,98704498722424;0,1371787438682372;-17,66254058764837;22,0;49
0;3;80;2;3;4;6;0,01;0,05;CINF;out_of_sample_final_1;9,74403771248047;0,9495596078794512;-7,609796480041586;29,0;49
1;3;80;2;3;4;6;0,01;0,05;CINF;out_of_sample_final_2;31,65603907346275;1,7250409169453034;-11,04364734974521;34,0;49
0;3;100;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_1;16,227916740470594;1,53400128802833;-8,604435392584076;29,0;49
1;3;100;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_2;12,86750974307267;1,4014364317867036;-5,103060931818282;17,0;49
0;3;90;2;3;3;6;0,05;0,05;TJX;out_of_sample_final_1;24,53065366858169;1,4452563879616225;-18,07563344029026;32,0;49
1;3;90;2;3;3;6;0,05;0,05;TJX;out_of_sample_final_2;12,732782628372806;0,8869287915704288;-15,018680582854794;25,0;49
0;3;50;2;3;4;6;0,01;0,05;SO;out_of_sample_final_1;29,277242016693503;2,126857398022246;-5,14280867346365;28,0;49
1;3;50;2;3;4;6;0,01;0,05;SO;out_of_sample_final_2;14,632078843128738;1,4160916231216063;-4,732422801404212;26,0;49
0;3;90;2;3;4;6;0,02;0,07;ITW;out_of_sample_final_1;28,5316576175644;1,5424490508096245;-17,306525563496646;32,0;42
1;3;90;2;3;4;6;0,02;0,07;ITW;out_of_sample_final_2;9,764589095006837;0,7167532676496589;-12,155154388348354;22,0;42
