;Size;EntryBar;ExitBar;EntryPrice;ExitPrice;PnL;ReturnPct;EntryTime;ExitTime;Tag;Duration
28;904363;660;666;25,831560688018797;24,44499969482422;-1253954,4594884284;-0,05367701200639008;2002-08-21;2002-08-29;;8 days
29;-950706;682;685;23,253399238586425;23,55500030517578;-286733,94361290033;-0,012970192593987795;2002-09-23;2002-09-26;;3 days
30;767467;712;713;28,43175;27,889999389648438;-415775,71567468334;-0,019054423676051035;2002-11-04;2002-11-05;;1 days
31;-799089;740;756;26,786320152282716;27,684999465942383;-718124,7540729895;-0,03354993551001373;2002-12-13;2003-01-08;;26 days
32;-876447;779;784;23,60269961929321;24,81999969482422;-1066898,9992989246;-0,051574612021752175;2003-02-11;2003-02-19;;8 days
33;815173;792;794;24,0680404586792;23,06999969482422;-813575,8835939561;-0,04146747075518875;2003-03-03;2003-03-05;;2 days
34;712548;869;873;26,392680152893067;25,389999389648438;-714458,1724884346;-0,03799086555196707;2003-06-20;2003-06-26;;6 days
35;-679200;878;879;26,6366205329895;27,020000457763672;-260391,64490661735;-0,01439296416372926;2003-07-03;2003-07-07;;4 days
36;652810;880;884;27,3145202293396;27,6299991607666;205947,80122486112;0,0115498617137757;2003-07-08;2003-07-14;;6 days
37;-686936;900;917;26,257379467010498;26,5;-166664,7784496765;-0,009240089373516058;2003-08-05;2003-08-28;;23 days
38;-624783;949;956;28,602679847717287;28,719999313354492;-73299,2076992101;-0,004101694885298324;2003-10-14;2003-10-23;;9 days
39;-660231;961;974;26,95598022842407;25,329999923706055;1073522,6025642806;0,06031983593026535;2003-10-30;2003-11-18;;19 days
40;743507;978;989;25,380659923553466;26,450000762939453;795062,399469357;0,04213211329440769;2003-11-24;2003-12-10;;16 days
41;707772;1005;1009;27,7854595413208;28,030000686645508;173079,3755087584;0,008801047359358716;2004-01-05;2004-01-09;;4 days
42;-738432;1036;1051;26,86616007614136;25,18000030517578;1245114,3319936534;0,0627614726550737;2004-02-19;2004-03-11;;21 days
43;855361;1061;1068;24,649200382232667;25,809999465942383;992902,2650410259;0,04709276835391507;2004-03-25;2004-04-05;;11 days
44;-839511;1088;1116;26,297300380706787;26,989999771118164;-581528,7579436457;-0,026341083699967127;2004-05-04;2004-06-15;;42 days
45;760185;1120;1133;28,2764393119812;27,780000686645508;-377385,19640081306;-0,0175566173611309;2004-06-21;2004-07-09;;18 days
46;-772554;1187;1191;27,335219390869142;27,59000015258789;-196831,89658886622;-0,009320604238642227;2004-09-24;2004-09-30;;6 days
47;739878;1205;1208;28,2764393119812;27,670000076293945;-448691,04882181453;-0,021446803432223382;2004-10-20;2004-10-25;;5 days
48;-729497;1212;1217;28,06376083755493;29,209999084472656;-836177,3624117401;-0,04084407124022493;2004-10-29;2004-11-05;;7 days
49;665887;1219;1223;29,488860305786133;27,34000015258789;-1430898,0408327181;-0,0728702340787516;2004-11-09;2004-11-15;;6 days
50;-669179;1238;1269;27,205480228424072;25,950000762939453;840140,493233532;0,04614803543048296;2004-12-07;2005-01-21;;45 days
51;733030;1285;1291;25,98186030578613;25,239999771118164;-543806,0277276604;-0,028553018372697414;2005-02-14;2005-02-23;;9 days
52;762376;1319;1349;24,2684393119812;25,309999465942383;794060,4639363101;0,04291829979552775;2005-04-05;2005-05-17;;42 days
53;-743917;1358;1382;25,938019771575927;24,65999984741211;950740,747924175;0,04927206993512789;2005-05-31;2005-07-05;;35 days
54;743964;1404;1408;27,214319847106935;27,40999984741211;145578,87574703843;0,007190332200272653;2005-08-04;2005-08-10;;6 days
