;ativo;cenario;variavel;melhor_valor;media_de_pontos
124;JNJ;cenario_in_sample_1x;num_pontos;2;5,172054159913016
125;AIG;cenario_in_sample_1x;janela_rsi;49;6,1983421600552555
126;AIG;cenario_in_sample_1x;ordem;1;6,007905458793031
127;AIG;cenario_in_sample_1x;lookback;50;5,534982466127165
128;AIG;cenario_in_sample_1x;break_min;3;5,136781252149126
129;AIG;cenario_in_sample_1x;num_pontos;2;5,720578077693784
130;LLY;cenario_in_sample_1x;janela_rsi;42;5,786727087290663
131;LLY;cenario_in_sample_1x;ordem;1;6,088773792487828
132;LLY;cenario_in_sample_1x;lookback;50;5,258275367857343
133;LLY;cenario_in_sample_1x;break_min;3;4,94958808577104
134;LLY;cenario_in_sample_1x;num_pontos;2;5,55433025983904
135;NOC;cenario_in_sample_1x;janela_rsi;35;5,077996609085361
136;NOC;cenario_in_sample_1x;ordem;1;5,683786180314745
137;NOC;cenario_in_sample_1x;lookback;50;5,097232058210902
138;NOC;cenario_in_sample_1x;break_min;3;4,6308100316774174
139;NOC;cenario_in_sample_1x;num_pontos;2;5,486815378649376
140;AES;cenario_in_sample_1x;janela_rsi;42;5,414781120573493
141;AES;cenario_in_sample_1x;ordem;1;5,368229331800063
142;AES;cenario_in_sample_1x;lookback;50;4,874166618800715
143;AES;cenario_in_sample_1x;break_min;3;4,502282227681434
144;AES;cenario_in_sample_1x;num_pontos;2;4,916799004621525
145;BEN;cenario_in_sample_1x;janela_rsi;21;5,402391911842765
146;BEN;cenario_in_sample_1x;ordem;1;5,375490376580525
147;BEN;cenario_in_sample_1x;lookback;50;4,648271659837729
148;BEN;cenario_in_sample_1x;break_min;3;4,3477856333008695
149;BEN;cenario_in_sample_1x;num_pontos;2;4,82756698179906
150;BAC;cenario_in_sample_1x;janela_rsi;28;5,742373677697639
151;BAC;cenario_in_sample_1x;ordem;1;5,02052847884993
152;BAC;cenario_in_sample_1x;lookback;50;4,853370751533736
153;BAC;cenario_in_sample_1x;break_min;3;4,517047905328783
154;BAC;cenario_in_sample_1x;num_pontos;2;4,949205279556768
155;CL;cenario_in_sample_1x;janela_rsi;56;6,008995609299405
156;CL;cenario_in_sample_1x;ordem;1;5,796073006470884
157;CL;cenario_in_sample_1x;lookback;50;5,381882546758813
158;CL;cenario_in_sample_1x;break_min;3;5,078444332585833
159;CL;cenario_in_sample_1x;num_pontos;2;5,454221164341685
160;COF;cenario_in_sample_1x;janela_rsi;35;5,228149857618397
161;COF;cenario_in_sample_1x;ordem;1;5,627615537573883
162;COF;cenario_in_sample_1x;lookback;50;4,975335848635692
163;COF;cenario_in_sample_1x;break_min;3;4,593510103466753
164;COF;cenario_in_sample_1x;num_pontos;2;5,139615203541124
165;MMC;cenario_in_sample_1x;janela_rsi;63;5,862096951209035
166;MMC;cenario_in_sample_1x;ordem;1;6,175471718578944
167;MMC;cenario_in_sample_1x;lookback;50;5,562637958085291
168;MMC;cenario_in_sample_1x;break_min;3;5,123999329961914
169;MMC;cenario_in_sample_1x;num_pontos;2;5,7512084808308135
170;DHR;cenario_in_sample_1x;janela_rsi;14;4,76643862195458
171;DHR;cenario_in_sample_1x;ordem;1;5,000863074744579
172;DHR;cenario_in_sample_1x;lookback;50;4,482828001855616
173;DHR;cenario_in_sample_1x;break_min;4;3,8249811695815352
174;DHR;cenario_in_sample_1x;num_pontos;2;4,6103857885054325
175;HAS;cenario_in_sample_1x;janela_rsi;21;5,428065223141171
176;HAS;cenario_in_sample_1x;ordem;1;5,101054434430188
177;HAS;cenario_in_sample_1x;lookback;50;4,658522618563266
178;HAS;cenario_in_sample_1x;break_min;3;4,23240456258483
179;HAS;cenario_in_sample_1x;num_pontos;2;4,787189853138617
180;PFE;cenario_in_sample_1x;janela_rsi;49;4,973935243569429
181;PFE;cenario_in_sample_1x;ordem;1;5,488970704665541
182;PFE;cenario_in_sample_1x;lookback;50;4,853866139511627
183;PFE;cenario_in_sample_1x;break_min;3;4,510350949596923
184;PFE;cenario_in_sample_1x;num_pontos;2;4,925795428877005
185;MMM;cenario_in_sample_1x;janela_rsi;21;5,40443414013794
186;MMM;cenario_in_sample_1x;ordem;1;5,107449438337991
187;MMM;cenario_in_sample_1x;lookback;50;4,877123283453827
188;MMM;cenario_in_sample_1x;break_min;3;4,455382114938339
189;MMM;cenario_in_sample_1x;num_pontos;2;4,899962936920377
190;ED;cenario_in_sample_1x;janela_rsi;42;5,134862634732685
191;ED;cenario_in_sample_1x;ordem;1;5,650223996600549
192;ED;cenario_in_sample_1x;lookback;50;4,719492513812815
193;ED;cenario_in_sample_1x;break_min;3;4,540467935694465
194;ED;cenario_in_sample_1x;num_pontos;2;5,128821804229558
195;ORCL;cenario_in_sample_1x;janela_rsi;28;5,1082708277962245
196;ORCL;cenario_in_sample_1x;ordem;1;5,4896796769734815
197;ORCL;cenario_in_sample_1x;lookback;50;4,996431384125213
198;ORCL;cenario_in_sample_1x;break_min;3;4,7142744444842135
199;ORCL;cenario_in_sample_1x;num_pontos;2;5,16066410240039
200;PNC;cenario_in_sample_1x;janela_rsi;28;5,683652765718025
201;PNC;cenario_in_sample_1x;ordem;1;5,614339455820105
202;PNC;cenario_in_sample_1x;lookback;50;4,779880671825817
203;PNC;cenario_in_sample_1x;break_min;3;4,508848448558034
204;PNC;cenario_in_sample_1x;num_pontos;2;5,116721903843002
205;MU;cenario_in_sample_1x;janela_rsi;28;5,1943103793001
206;MU;cenario_in_sample_1x;ordem;1;5,507186796246842
207;MU;cenario_in_sample_1x;lookback;50;4,5382289345725315
208;MU;cenario_in_sample_1x;break_min;3;4,416050458494981
209;MU;cenario_in_sample_1x;num_pontos;2;4,933536288654546
210;MCO;cenario_in_sample_1x;janela_rsi;35;5,278431276094343
211;MCO;cenario_in_sample_1x;ordem;1;6,185380360287439
212;MCO;cenario_in_sample_1x;lookback;50;5,014570311552516
213;MCO;cenario_in_sample_1x;break_min;3;4,911297287364207
214;MCO;cenario_in_sample_1x;num_pontos;2;5,52287689623874
215;FDX;cenario_in_sample_1x;janela_rsi;28;5,133079952872073
216;FDX;cenario_in_sample_1x;ordem;1;5,353829067476498
217;FDX;cenario_in_sample_1x;lookback;50;4,7986653292488395
218;FDX;cenario_in_sample_1x;break_min;3;4,34703920920261
219;FDX;cenario_in_sample_1x;num_pontos;2;4,995689527501151
220;WY;cenario_in_sample_1x;janela_rsi;14;5,009494563414402
221;WY;cenario_in_sample_1x;ordem;1;5,313387582517478
222;WY;cenario_in_sample_1x;lookback;50;4,921995276261203
223;WY;cenario_in_sample_1x;break_min;3;4,7497585656286505
224;WY;cenario_in_sample_1x;num_pontos;2;5,115219418888369
225;CINF;cenario_in_sample_1x;janela_rsi;56;5,205259445075304
226;CINF;cenario_in_sample_1x;ordem;1;5,6653251198882915
227;CINF;cenario_in_sample_1x;lookback;50;5,159352027991632
228;CINF;cenario_in_sample_1x;break_min;3;4,682994442407479
229;CINF;cenario_in_sample_1x;num_pontos;2;5,258836967145894
230;AEE;cenario_in_sample_1x;janela_rsi;63;5,075504040770404
231;AEE;cenario_in_sample_1x;ordem;1;5,038691848054971
232;AEE;cenario_in_sample_1x;lookback;50;4,464425131985019
233;AEE;cenario_in_sample_1x;break_min;4;4,147426477591116
234;AEE;cenario_in_sample_1x;num_pontos;2;4,900910479368098
235;TJX;cenario_in_sample_1x;janela_rsi;35;5,808012557713831
236;TJX;cenario_in_sample_1x;ordem;1;5,554838004639014
237;TJX;cenario_in_sample_1x;lookback;50;5,127940747394459
238;TJX;cenario_in_sample_1x;break_min;3;4,914087848642551
239;TJX;cenario_in_sample_1x;num_pontos;2;5,351897848897847
240;SO;cenario_in_sample_1x;janela_rsi;49;5,7246492178803825
241;SO;cenario_in_sample_1x;ordem;1;5,83662508243161
242;SO;cenario_in_sample_1x;lookback;50;5,255383821477485
243;SO;cenario_in_sample_1x;break_min;3;4,7604323805295605
244;SO;cenario_in_sample_1x;num_pontos;2;5,448772419718741
245;ITW;cenario_in_sample_1x;janela_rsi;63;4,939195612965351
246;ITW;cenario_in_sample_1x;ordem;1;5,408101626410164
247;ITW;cenario_in_sample_1x;lookback;50;4,850096075111463
248;ITW;cenario_in_sample_1x;break_min;3;4,560962955185271
249;ITW;cenario_in_sample_1x;num_pontos;2;4,965485422282895
