;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;
34;2;42;4;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;31,95789628;1,03201111;-24,14548341;79;;42-2-100-4-3-in_sample_1_1x
35;2;42;4;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;32,94197561;1,199539192;-13,22187849;73;;42-2-100-4-4-in_sample_1_1x
36;2;49;2;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;45,56819316;1,16394657;-19,40957879;119;;49-2-50-2-3-in_sample_1_1x
37;2;49;2;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;18,32800322;0,55828873;-27,22088674;104;;49-2-50-2-4-in_sample_1_1x
38;2;49;2;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;21,39287;0,66729001;-25,44388739;96;;49-2-100-2-3-in_sample_1_1x
39;2;49;2;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;13,00417476;0,467467694;-28,68803896;82;;49-2-100-2-4-in_sample_1_1x
40;2;49;3;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;41,25395243;1,266521078;-20,74285619;96;;49-2-50-3-3-in_sample_1_1x
41;2;49;3;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;24,13668642;0,818180938;-21,71194539;85;;49-2-50-3-4-in_sample_1_1x
42;2;49;3;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;15,95348187;0,615931054;-24,40887823;79;;49-2-100-3-3-in_sample_1_1x
43;2;49;3;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;9,668068098;0,415957095;-26,34657006;67;;49-2-100-3-4-in_sample_1_1x
44;2;49;4;50;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;32,94827458;1,135295804;-22,55921905;85;;49-2-50-4-3-in_sample_1_1x
45;2;49;4;50;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;23,04242403;0,949746453;-15,90199123;67;;49-2-50-4-4-in_sample_1_1x
46;2;49;4;100;3;2;6;0,02;0,05;AAPL;in_sample_1_1x;13,43622563;0,558772774;-22,46058084;70;;49-2-100-4-3-in_sample_1_1x
47;2;49;4;100;4;2;6;0,02;0,05;AAPL;in_sample_1_1x;11,74163117;0,535482326;-26,71628835;59;;49-2-100-4-4-in_sample_1_1x
48;2;28;2;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;43,1660297;1,426382156;-16,5382411;101;;28-2-50-2-3-in_sample_2_1x
49;2;28;2;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;36,2706647;1,279091003;-21,72356046;102;;28-2-50-2-4-in_sample_2_1x
50;2;28;2;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;38,69114953;1,343926544;-15,46943242;87;;28-2-100-2-3-in_sample_2_1x
51;2;28;2;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;26,95275326;1,054872876;-17,5376189;87;;28-2-100-2-4-in_sample_2_1x
52;2;28;3;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;23,31887731;1,08385035;-14,43278299;85;;28-2-50-3-3-in_sample_2_1x
53;2;28;3;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;24,44778261;1,152625113;-20,16196209;85;;28-2-50-3-4-in_sample_2_1x
54;2;28;3;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;23,33901868;1,087627172;-21,76668177;79;;28-2-100-3-3-in_sample_2_1x
55;2;28;3;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;17,14658905;0,915145209;-19,32594371;74;;28-2-100-3-4-in_sample_2_1x
56;2;28;4;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;22,73300226;1,215923178;-18,35285168;65;;28-2-50-4-3-in_sample_2_1x
57;2;28;4;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;26,01663305;1,459586075;-15,52670715;61;;28-2-50-4-4-in_sample_2_1x
58;2;28;4;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;18,24186422;0,938590874;-19,2915952;72;;28-2-100-4-3-in_sample_2_1x
59;2;28;4;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;14,74653256;0,847757452;-19,32594881;65;;28-2-100-4-4-in_sample_2_1x
60;2;35;2;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;47,5065653;1,577740868;-19,20715819;98;;35-2-50-2-3-in_sample_2_1x
61;2;35;2;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;36,96950868;1,339728343;-18,63439107;91;;35-2-50-2-4-in_sample_2_1x
62;2;35;2;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;25,29839277;1,026483055;-24,82512093;89;;35-2-100-2-3-in_sample_2_1x
63;2;35;2;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;20,74699869;0,910726868;-24,05192388;84;;35-2-100-2-4-in_sample_2_1x
64;2;35;3;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;24,68435255;1,106422652;-24,36860778;84;;35-2-50-3-3-in_sample_2_1x
65;2;35;3;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;24,71109827;1,099335195;-21,71351488;77;;35-2-50-3-4-in_sample_2_1x
66;2;35;3;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;18,78856708;0,877132395;-25,20396877;79;;35-2-100-3-3-in_sample_2_1x
67;2;35;3;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;17,72739203;0,848704451;-24,43466826;76;;35-2-100-3-4-in_sample_2_1x
68;2;35;4;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;15,50507115;0,859312048;-21,97708839;67;;35-2-50-4-3-in_sample_2_1x
69;2;35;4;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;15,56243013;0,842204594;-20,33883661;64;;35-2-50-4-4-in_sample_2_1x
70;2;35;4;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;13,73886712;0,733807335;-24,24866819;70;;35-2-100-4-3-in_sample_2_1x
71;2;35;4;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;14,45418674;0,755334469;-24,51610261;67;;35-2-100-4-4-in_sample_2_1x
72;2;42;2;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;35,53369032;1,183946636;-19,87601312;112;;42-2-50-2-3-in_sample_2_1x
73;2;42;2;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;28,20306496;1,018686874;-22,23417078;106;;42-2-50-2-4-in_sample_2_1x
74;2;42;2;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;17,0946896;0,70356495;-19,09468615;96;;42-2-100-2-3-in_sample_2_1x
75;2;42;2;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;12,94508707;0,548434726;-20,57454913;92;;42-2-100-2-4-in_sample_2_1x
76;2;42;3;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;32,18777769;1,203355161;-19,56851929;96;;42-2-50-3-3-in_sample_2_1x
77;2;42;3;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;22,07254004;0,900670417;-22,04394813;88;;42-2-50-3-4-in_sample_2_1x
78;2;42;3;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;20,85386958;0,894362346;-21,4602148;79;;42-2-100-3-3-in_sample_2_1x
79;2;42;3;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;11,51269267;0,531419126;-32,32442245;76;;42-2-100-3-4-in_sample_2_1x
